"k","e1","e2","e3","e4"
0.23168711057412628,"-0.9161246824568079","-0.6049602492083954","-0.5953161032182803","0.9097850259458503"
0.2368357130313291,"-0.8994417330730122","-0.5814644371593705","-0.5719468623695318","0.8933183939036871"
0.2419843154885319,"-0.8827757277291355","-0.5584025416843283","-0.5489926166573729","0.876853739258998"
0.24713291794573472,"-0.8661251359809627","-0.5357746872451694","-0.5264548965260181","0.8603911864736841"
0.25228152040293755,"-0.8494886469495481","-0.513581008687381","-0.504335012854413","0.8439308703932324"
0.25743012286014033,"-0.8328651358135002","-0.49182165233242325","-0.4826340904639507","0.8274729373391024"
0.26257872531734316,"-0.8162536366098762","-0.4704967772099896","-0.46135309531757196","0.8110175463409889"
0.267727327774546,"-0.7996533200647233","-0.449606556451396","-0.44049285668923066","0.7945648705302071"
0.27287593023174883,"-0.7830634754673164","-0.42915117886906706","-0.42005408528965155","0.7781150987191813"
0.27802453268895166,"-0.7664834958236518","-0.40913085075163447","-0.4000373881128387","0.7616684371965444"
0.2831731351461545,"-0.74991286569371","-0.38954579790956845","-0.3804432805988109","0.7452251117727646"
0.28832173760335733,"-0.7333511512470549","-0.37039626801287284","-0.3612721965780052","0.7287853701178474"
0.29347034006056005,"-0.7167979921724532","-0.35168253327036414","-0.3425244963616496","0.7123494844406131"
0.2986189425177629,"-0.7002530951567197","-0.3334048935098529","-0.3242004732629392","0.6959177545688635"
0.3037675449749657,"-0.6837162287111922","-0.31556367973051747","-0.3063003587705304","0.6794905115017811"
0.30891614743216855,"-0.6671872191755902","-0.2981592582135537","-0.28882432654470513","0.6630681215205627"
0.31406474988937133,"-0.6506659477710331","-0.2811920352954512","-0.2717724953643432","0.646650990961697"
0.31921335234657416,"-0.6341523486097578","-0.2646624629309843","-0.25514493111720726","0.6302395717799585"
0.32436195480377694,"-0.6176464076000269","-0.24857104520143647","-0.23894164789503536","0.6138343680566307"
0.3295105572609798,"-0.6011481622127474","-0.23291834595926997","-0.22316260822692013","0.5974359436441762"
0.3346591597181826,"-0.5846577021026935","-0.21770499784559294","-0.20780772245808798","0.5810449311837027"
0.33980776217538544,"-0.5681751706032717","-0.20293171297409907","-0.19287684725513166","0.5646620427889039"
0.3449563646325882,"-0.5517007671407155","-0.1885992956484851","-0.17836978319181862","0.5482880827634767"
0.35010496708979105,"-0.5352347506427808","-0.17470865757465615","-0.1642862713403923","0.5319239628133265"
0.3552535695469938,"-0.5187774440499134","-0.16126083615118159","-0.15062598876040667","0.5155707203370223"
0.36040217200419655,"-0.5023292400752003","-0.14825701658071444","-0.13738854273877554","0.4992295405372171"
0.3655507744613994,"-0.4858906084053362","-0.13569855875423525","-0.124573463588803","0.48290178330489175"
0.3706993769186022,"-0.46946210459109766","-0.12358703013665723","-0.11218019575971366","0.46658901610495895"
0.37584797937580505,"-0.45304438094583577","-0.11192424625121067","-0.10020808693815575","0.4502930544606494"
0.3809965818330079,"-0.4366381998590463","-0.10071232085576598","-0.08865637473463384","0.43401601212983343"
0.3861451842902107,"-0.420244450045229","-0.08995372857601086","-0.07752417043464827","0.417760363738199"
0.39129378674741355,"-0.40386416639451767","-0.07965138367843178","-0.06681043914806456","0.401529023552232"
0.3964423892046164,"-0.38749855428234314","-0.06980873993156167","-0.05651397549945247","0.38532544534046564"
0.4015909916618192,"-0.371149019446539","-0.060429918263784244","-0.04663337375097898","0.36915375003128376"
