"k","b1","b2","b3","b4"
0.11841785651566455,"-9.71445146547012e-16","-9.43689570931383e-16","1.0547118733938987e-15","1.05536239469739e-15"
0.12356645897286739,"-6.661338147750939e-16","-6.106226635438361e-16","1.27675647831893e-15","1.4434254572842642e-15"
0.12871506143007017,"-9.43689570931383e-16","7.771561172376096e-16","-2.7200464103316335e-15","9.44448512452123e-16"
0.133863663887273,"-7.216449660063518e-16","-4.440892098500626e-16","0.0","1.278111731034537e-15"
0.13901226634447578,"-1.0547118733938987e-15","2.7755575615628914e-16","4.996003610813204e-16","1.2779762057629762e-15"
0.1441608688016786,"-1.214306433183765e-15","3.885780586188048e-15","4.385380947269368e-15","1.110114604407908e-15"
0.14930947125888144,"-1.1796119636642288e-15","-6.106226635438361e-16","6.661338147750939e-16","6.092674108282292e-16"
0.15445807371608422,"-1.1657341758564144e-15","-1.5543122344752192e-15","6.106226635438361e-16","1.2758349064723173e-15"
0.15960667617328705,"-1.1379786002407855e-15","-4.6629367034256575e-15","4.107825191113079e-15","1.2207574361100537e-15"
0.1647552786304899,"-8.465450562766819e-16","-1.0325074129013956e-14","1.454392162258955e-14","9.46454286471221e-16"
0.16990388108769267,"-9.159339953157541e-16","-3.3306690738754696e-15","1.5543122344752192e-15","1.1109277560372721e-15"
0.17505248354489544,"-9.71445146547012e-16","-9.048317650695026e-15","8.43769498715119e-15","6.132247487578013e-16"
0.18020108600209822,"-1.2732870313669764e-15","-6.5503158452884236e-15","6.772360450213455e-15","5.017687654262915e-16"
0.18534968845930105,"-1.2455314557513475e-15","-1.0769163338864018e-14","1.0769163338864018e-14","1.277949100708664e-15"
0.19049829091650383,"-1.141448047192739e-15","-1.5154544286133387e-14","1.1435297153639112e-14","6.106226635438361e-16"
0.19564689337370667,"-9.575673587391975e-16","-1.8762769116165146e-14","1.7486012637846216e-14","1.2238474123016374e-15"
0.2007954958309095,"-1.0755285551056204e-15","-7.494005416219807e-15","7.605027718682322e-15","9.450990337556142e-16"
0.20594409828811228,"-1.2559397966072083e-15","-2.7755575615628914e-14","4.440892098500626e-16","1.1133672109253645e-15"
0.21109270074531505,"-1.4398204850607499e-15","-3.1530333899354446e-14","3.8913317013111737e-14","1.1139093120116073e-15"
0.21624130320251783,"-9.506284648352903e-16","-1.1435297153639112e-14","1.0269562977782698e-14","9.459663954936026e-16"
0.22138990565972066,"-1.0547118733938987e-15","-6.827871601444713e-15","1.1102230246251565e-16","6.697116819442961e-16"
0.2265385081169235,"-1.07032438467769e-15","-2.4369395390522186e-14","1.0602629885170245e-14","9.45857975276354e-16"
0.23168711057412628,"-9.71445146547012e-16","-1.8596235662471372e-14","2.3869795029440866e-14","6.140921104957897e-16"
0.2368357130313291,"-1.169203622808368e-15","-1.7763568394002505e-14","1.942890293094024e-14","1.6102570665754712e-15"
0.2419843154885319,"-9.957312752106873e-16","1.2212453270876722e-15","-4.496403249731884e-15","7.747708724581415e-16"
0.24713291794573472,"-1.0894063429134349e-15","1.7208456881689926e-15","5.10702591327572e-15","1.2796838241846409e-15"
0.25228152040293755,"-1.1449174941446927e-15","-2.4980018054066022e-15","2.425837308805967e-14","6.102974028920904e-16"
0.25743012286014033,"-1.141448047192739e-15","-6.106226635438361e-16","3.3861802251067274e-15","6.106226635438361e-16"
0.26257872531734316,"-1.313185671314443e-15","1.5765166949677223e-14","-8.881784197001252e-15","1.5552880164304561e-15"
0.267727327774546,"-1.160530005428484e-15","-9.2148511043888e-15","-3.4416913763379853e-15","9.448821933211171e-16"
0.27287593023174883,"-1.0928757898653885e-15","3.2751579226442118e-15","1.5265566588595902e-14","9.45857975276354e-16"
0.27802453268895166,"-9.697104230710352e-16","-1.1435297153639112e-14","1.5543122344752192e-15","1.7224719914277209e-15"
0.2831731351461545,"-1.1310397063368782e-15","-5.88418203051333e-15","7.105427357601002e-15","9.473758583178338e-16"
0.28832173760335733,"-1.4363510381087963e-15","-1.8318679906315083e-14","1.4654943925052066e-14","7.830108089690313e-16"
0.29347034006056005,"6.800116025829084e-16","2.2870594307278225e-14","1.5987211554602254e-14","-1.0592655225183378e-15"
0.2986189425177629,"1.0633854907737827e-15","-8.770761894538737e-15","-1.915134717478395e-14","-1.2834785317883401e-15"
0.3037675449749657,"1.736458199452784e-15","-2.9531932455029164e-14","-1.9262369477246466e-14","-1.0601328842563262e-15"
0.30891614743216855,"7.875644580934704e-16","-7.771561172376096e-15","1.6708856520608606e-14","-1.0599160438218291e-15"
0.31406474988937133,"6.730727086790012e-16","4.163336342344337e-15","-3.219646771412954e-15","-9.495442626628048e-16"
0.31921335234657416,"6.262351748276274e-16","1.9872992140790302e-14","-1.865174681370263e-14","-1.1149935141840928e-15"
0.32436195480377694,"1.0755285551056204e-15","-9.492406860545088e-15","-3.069766663088558e-14","-9.43689570931383e-16"
0.3295105572609798,"1.1050188541972261e-15","1.942890293094024e-14","-2.1260770921571748e-14","-1.1184629611360464e-15"
0.3346591597181826,"1.1119577481011333e-15","1.765254609153999e-14","-7.382983113757291e-15","-1.1167282376600696e-15"
